1,1,1000
2,1,2000
2,2,11001
3,1,133007
3,2,20002
3,3,150008
4,1,10152581
4,2,1028059
4,3,256014
4,4,813047
1,1,2000
2,1,6000
2,2,19001
3,1,110006
3,2,16001
3,3,73005
4,1,9820561
4,2,1055061
4,3,230013
4,4,782044
1,1,1000
2,1,2000
2,2,15001
3,1,105006
3,2,27002
3,3,73004
4,1,10278588
4,2,1061060
4,3,216013
4,4,797045
1,1,5000
2,1,4000
2,2,25002
3,1,117006
3,2,16001
3,3,69004
4,1,10385594
4,2,1083062
4,3,220013
4,4,811046
1,1,6000
2,1,4000
2,2,14001
3,1,115007
3,2,15001
3,3,90005
4,1,10283588
4,2,1011058
4,3,268015
4,4,773044
1,1,1000
2,1,2000
2,2,7000
3,1,104006
3,2,18001
3,3,66004
4,1,10173582
4,2,1008057
4,3,268016
4,4,773044
1,1,3000
2,1,7000
2,2,9001
3,1,159009
3,2,33002
3,3,82004
4,1,10193583
4,2,1044060
4,3,169010
4,4,790045
1,1,5000
2,1,4000
2,2,8001
3,1,101005
3,2,14001
3,3,61004
4,1,8527487
4,2,837048
4,3,129008
4,4,689039
1,1,1000
2,1,2000
2,2,6001
3,1,84004
3,2,11001
3,3,54003
4,1,8214470
4,2,855049
4,3,160009
4,4,660038
1,1,6001
2,1,4000
2,2,10000
3,1,104006
3,2,20001
3,3,99006
4,1,9818562
4,2,1101063
4,3,197011
4,4,715041
1,1,1000
2,1,2000
2,2,5000
3,1,97006
3,2,14000
3,3,62004
4,1,9378536
4,2,1018059
4,3,161009
4,4,782045
1,1,0
2,1,2000
2,2,12001
3,1,118007
3,2,16001
3,3,72004
4,1,9608549
4,2,910053
4,3,228013
4,4,779044
1,1,1000
2,1,3000
2,2,10001
3,1,109006
3,2,16001
3,3,78004
4,1,9435540
4,2,932053
4,3,218013
4,4,707040
1,1,7000
2,1,15001
2,2,11001
3,1,124007
3,2,35002
3,3,111006
4,1,9452541
4,2,965055
4,3,171010
4,4,795046
1,1,1000
2,1,2000
2,2,12001
3,1,101006
3,2,21001
3,3,72004
4,1,9466541
4,2,976056
4,3,162010
4,4,712040
1,1,8000
2,1,3000
2,2,21002
3,1,127007
3,2,29001
3,3,79005
4,1,9496543
4,2,909052
4,3,190011
4,4,776044
1,1,1000
2,1,3000
2,2,14001
3,1,112006
3,2,16001
3,3,74005
4,1,9299531
4,2,938054
4,3,182011
4,4,733041
1,1,17001
2,1,10001
2,2,11000
3,1,110007
3,2,20001
3,3,85005
4,1,9450540
4,2,929053
4,3,233014
4,4,736042
1,1,2001
2,1,9000
2,2,23001
3,1,129008
3,2,21001
3,3,76004
4,1,9400538
4,2,963055
4,3,167010
4,4,735042
1,1,8001
2,1,4000
2,2,18001
3,1,162009
3,2,24001
3,3,73005
4,1,9581548
4,2,968055
4,3,175010
4,4,717041
1,1,14001
2,1,7000
2,2,25002
3,1,112006
3,2,16001
3,3,71004
4,1,9318533
4,2,905052
4,3,216012
4,4,728042
1,1,18001
2,1,4000
2,2,21001
3,1,130008
3,2,18001
3,3,77004
4,1,9423539
4,2,1015058
4,3,177010
4,4,743043
1,1,5000
2,1,2000
2,2,8001
3,1,100005
3,2,18001
3,3,73004
4,1,9492543
4,2,962055
4,3,144009
4,4,751043
1,1,3000
2,1,1000
2,2,13000
3,1,159010
3,2,16000
3,3,65004
4,1,9571548
4,2,902051
4,3,218013
4,4,714041
1,1,8000
2,1,29002
2,2,22001
3,1,142008
3,2,20001
3,3,72005
4,1,9340534
4,2,919052
4,3,226013
4,4,740043
1,1,3000
2,1,19001
2,2,35002
3,1,113006
3,2,42003
3,3,84005
4,1,9509543
4,2,915053
4,3,203011
4,4,731042
1,1,8000
2,1,7001
2,2,16000
3,1,162009
3,2,30002
3,3,78004
4,1,9384537
4,2,963055
4,3,186010
4,4,751043
1,1,1000
2,1,2000
2,2,12001
3,1,115006
3,2,21001
3,3,76005
4,1,9505543
4,2,959055
4,3,152009
4,4,738042
1,1,1000
2,1,6001
2,2,18001
3,1,115006
3,2,19001
3,3,65004
4,1,9465541
4,2,1009058
4,3,185011
4,4,706040
1,1,13000
2,1,3001
2,2,14000
3,1,139008
3,2,26002
3,3,71004
4,1,9527545
4,2,979056
4,3,224013
4,4,931053
1,1,1000
2,1,2000
2,2,10001
3,1,154009
3,2,19001
3,3,72004
4,1,9618550
4,2,979056
4,3,192011
4,4,750043
1,1,5000
2,1,3000
2,2,19001
3,1,179010
3,2,20002
3,3,67003
4,1,9325534
4,2,896051
4,3,219013
4,4,729041
1,1,2000
2,1,3001
2,2,18001
3,1,133007
3,2,14001
3,3,62004
4,1,9819561
4,2,916053
4,3,195011
4,4,718041
1,1,16001
2,1,15001
2,2,15001
3,1,143008
3,2,21001
3,3,75005
4,1,9437540
4,2,971055
4,3,211012
4,4,727042
1,1,8001
2,1,14001
2,2,17001
3,1,167009
3,2,20001
3,3,68004
4,1,9317533
4,2,927053
4,3,218013
4,4,750042
1,1,7000
2,1,3000
2,2,19001
3,1,126008
3,2,18001
3,3,70004
4,1,9675553
4,2,961055
4,3,193011
4,4,733042
1,1,6000
2,1,5000
2,2,15001
3,1,121007
3,2,23001
3,3,88005
4,1,9342535
4,2,971055
4,3,147009
4,4,756043
1,1,0
2,1,3000
2,2,12001
3,1,115006
3,2,16001
3,3,75005
4,1,9411538
4,2,923053
4,3,175010
4,4,742042
1,1,3001
2,1,3000
2,2,8000
3,1,109006
3,2,19002
3,3,75004
4,1,9450540
4,2,944054
4,3,195012
4,4,783044
1,1,6000
2,1,13000
2,2,21002
3,1,111006
3,2,21001
3,3,74004
4,1,10122579
4,2,946055
4,3,223012
4,4,764044
1,1,7001
2,1,6000
2,2,35002
3,1,112007
3,2,17001
3,3,68003
4,1,9377537
4,2,991056
4,3,143009
4,4,731041
1,1,1000
2,1,2000
2,2,8000
3,1,110006
3,2,21002
3,3,72004
4,1,9775559
4,2,923053
4,3,213012
4,4,774044
1,1,43002
2,1,3000
2,2,16001
3,1,108006
3,2,15001
3,3,72004
4,1,9457541
4,2,1005058
4,3,186010
4,4,810047
1,1,1000
2,1,3000
2,2,12001
3,1,112007
3,2,25001
3,3,88005
4,1,9753558
4,2,1053060
4,3,157009
4,4,759044
1,1,57003
2,1,32002
2,2,21001
3,1,110006
3,2,17001
3,3,64004
4,1,9280531
4,2,941053
4,3,201012
4,4,733042
1,1,6000
2,1,4001
2,2,48002
3,1,122007
3,2,19001
3,3,68004
4,1,9392538
4,2,982056
4,3,167009
4,4,707041
1,1,3000
2,1,3000
2,2,7001
3,1,101005
3,2,24002
3,3,72004
4,1,9324533
4,2,954055
4,3,196011
4,4,727042
1,1,31002
2,1,4000
